type,lat,lng,distance,price,year_built,land_size,building_area,rooms,bathroom,car,suburb_grouped,count_1km,price_mean_1km,review_mean_1km,count_2km,price_mean_2km,review_mean_2km,count_2.5km,price_mean_2.5km,review_mean_2.5km,council_area
u,-37.811,145.0067,2.5,700000.0,,456.2983399358612,,2,2,1.0,Abbotsford,259.0,120.3976833976834,9.785,828.0,121.69082125603865,9.786046511627907,1222.0,122.12029459901801,9.798958333333333,Yarra
h,-37.8085,144.9964,2.5,1350000.0,2005.0,214.0,190.0,3,2,2.0,Abbotsford,346.0,115.96242774566474,9.756363636363636,1327.0,123.17558402411454,9.841760299625468,1854.0,122.49784250269687,9.849361129791527,Yarra
u,-37.8078,144.9965,2.5,750000.0,2009.0,456.2983399358612,94.0,2,2,1.0,Abbotsford,328.0,116.94817073170732,9.73384030418251,1337.0,122.84367988032909,9.840297121634169,1831.0,122.3615510649918,9.851801495581237,Yarra
h,-37.8084,144.9973,2.5,1172500.0,,195.0,,2,1,1.0,Abbotsford,335.0,114.67462686567164,9.737827715355806,1311.0,122.7627765064836,9.837297811607993,1797.0,122.73177518085699,9.846527777777778,Yarra
u,-37.8016,144.9988,2.5,441000.0,,456.2983399358612,,1,1,1.0,Abbotsford,201.0,113.33333333333333,9.625,1195.0,121.46276150627615,9.826943005181347,1755.0,120.78404558404559,9.851640513552068,Yarra
h,-37.809,144.9976,2.5,1310000.0,1890.0,238.0,97.0,2,1,2.0,Abbotsford,346.0,114.22254335260115,9.75,1306.0,122.98238897396631,9.832855778414517,1812.0,122.32836644591612,9.843123704215618,Yarra
h,-37.8056,144.993,2.5,1200000.0,1880.0,113.0,110.0,3,2,1.0,Abbotsford,469.0,121.50106609808103,9.802030456852792,1482.0,122.31174089068826,9.85439330543933,2010.0,121.11144278606965,9.863608183508989,Yarra
h,-37.8021,144.9965,2.5,1176500.0,1890.0,138.0,105.0,3,1,1.0,Abbotsford,255.0,112.56078431372549,9.682692307692308,1305.0,121.82068965517242,9.841904761904761,1879.0,119.91165513571049,9.854208084824387,Yarra
h,-37.8022,144.9975,2.5,955000.0,,183.0,,3,1,0.0,Abbotsford,235.0,115.19574468085106,9.66839378238342,1267.0,122.14601420678768,9.837254901960785,1818.0,120.22717271727173,9.855479452054794,Yarra
h,-37.8011,145.0004,2.5,890000.0,1985.0,150.0,73.0,2,1,1.0,Abbotsford,185.0,112.37297297297297,9.634615384615385,1093.0,120.80969807868253,9.80387685290764,1662.0,120.54873646209386,9.842264150943397,Yarra
h,-37.8073,144.9952,2.5,1330000.0,1900.0,780.0,135.0,4,2,2.0,Abbotsford,348.0,118.36206896551724,9.756944444444445,1375.0,122.6749090909091,9.84859474161378,1877.0,122.05753862546617,9.856763925729442,Yarra
t,-37.8093,144.9959,2.5,900000.0,2010.0,456.2983399358612,,3,2,2.0,Abbotsford,364.0,115.37637362637362,9.767123287671232,1333.0,123.08252063015755,9.842497670083876,1932.0,122.51656314699792,9.845507433742728,Yarra
u,-37.8015,144.9972,2.5,500000.0,1970.0,456.2983399358612,60.0,2,1,1.0,Abbotsford,241.0,113.95850622406638,9.66161616161616,1258.0,121.54451510333864,9.837758112094395,1854.0,119.84412081984898,9.852921423774346,Yarra
h,-37.8079,144.9977,2.5,1100000.0,2013.0,124.0,135.0,2,2,1.0,Abbotsford,327.0,114.14373088685015,9.724137931034482,1308.0,122.8440366972477,9.83349191246432,1761.0,122.47870528109028,9.847409510290987,Yarra
h,-37.808,144.994,2.5,1315000.0,1900.0,147.0,85.0,2,1,0.0,Abbotsford,402.0,121.51741293532338,9.781818181818181,1431.0,122.39622641509433,9.852686308492201,1965.0,122.07379134860051,9.856060606060606,Yarra
u,-37.8016,144.9988,2.5,426000.0,,456.2983399358612,,1,1,1.0,Abbotsford,201.0,113.33333333333333,9.625,1195.0,121.46276150627615,9.826943005181347,1755.0,120.78404558404559,9.851640513552068,Yarra
h,-37.8017,145.0001,2.5,1447500.0,2012.0,166.0,174.0,3,3,1.0,Abbotsford,193.0,110.40932642487047,9.608695652173912,1114.0,121.06912028725314,9.810055865921788,1671.0,120.78874925194495,9.846441947565543,Yarra
u,-37.8078,144.9965,2.5,457000.0,,456.2983399358612,50.0,1,1,1.0,Abbotsford,328.0,116.94817073170732,9.73384030418251,1337.0,122.84367988032909,9.840297121634169,1831.0,122.3615510649918,9.851801495581237,Yarra
h,-37.8005,144.9952,2.5,1135000.0,1920.0,98.0,128.0,2,2,2.0,Abbotsford,284.0,115.8274647887324,9.73076923076923,1316.0,120.87993920972644,9.845719661335842,1938.0,119.05985552115582,9.856683804627249,Yarra
h,-37.7994,144.9965,2.5,1542000.0,,456.2983399358612,,4,3,1.0,Abbotsford,240.0,114.68333333333334,9.665,1239.0,120.11783696529459,9.836327345309382,1883.0,119.23154540626659,9.851021753460778,Yarra
h,-37.805,144.9943,2.5,1290000.0,,147.0,18.0,3,2,2.0,Abbotsford,370.0,119.45135135135135,9.765472312703583,1409.0,122.52519517388218,9.848591549295774,1920.0,121.10625,9.861778066190785,Yarra
h,-37.8007,144.9958,2.5,1290000.0,1950.0,168.0,124.0,3,1,1.0,Abbotsford,263.0,113.65019011406844,9.706976744186047,1280.0,120.57421875,9.840776699029126,1915.0,119.27832898172323,9.85445094217024,Yarra
u,-37.8055,144.9961,2.5,470000.0,2013.0,456.2983399358612,50.0,1,1,1.0,Abbotsford,277.0,117.92057761732852,9.721030042918455,1346.0,122.69762258543834,9.845018450184503,1852.0,121.58207343412526,9.857720836142953,Yarra
h,-37.8016,144.9956,2.5,1180000.0,1900.0,162.0,91.0,2,1,0.0,Abbotsford,279.0,114.33691756272401,9.728070175438596,1318.0,121.46358118361154,9.844486333647502,1914.0,119.75966562173458,9.853610930383864,Yarra
h,-37.8022,144.9954,2.5,1195000.0,1998.0,120.0,128.0,3,2,1.0,Abbotsford,288.0,114.86805555555556,9.727659574468085,1342.0,121.77719821162444,9.84708063021316,1911.0,120.24175824175825,9.858355091383812,Yarra
h,-37.8021,144.9976,2.5,1012500.0,1900.0,182.0,82.0,2,1,0.0,Abbotsford,230.0,114.99130434782609,9.661375661375661,1257.0,122.12649164677805,9.83596837944664,1812.0,120.22958057395144,9.854195323246218,Yarra
h,-37.8086,144.9946,2.5,1030000.0,1930.0,172.0,81.0,2,1,1.0,Abbotsford,386.0,119.78497409326425,9.78125,1396.0,122.76504297994269,9.851555555555555,1970.0,122.33248730964468,9.8510101010101,Yarra
t,-37.718,144.878,13.5,840000.0,2016.0,303.0,225.0,3,2,1.0,Airport West,10.0,88.2,9.444444444444445,38.0,93.86842105263158,9.647058823529411,52.0,90.63461538461539,9.58695652173913,Yarra
h,-37.7203,144.8755,13.5,730000.0,1965.0,456.2983399358612,145.0,3,2,1.0,Airport West,8.0,98.625,9.428571428571429,40.0,91.9,9.61111111111111,51.0,90.52941176470588,9.6,Moonee Valley
h,-37.7203,144.8755,13.5,770000.0,1965.0,456.2983399358612,145.0,3,2,1.0,Airport West,8.0,98.625,9.428571428571429,40.0,91.9,9.61111111111111,51.0,90.52941176470588,9.6,Moonee Valley
h,-37.7294,144.888,13.5,603000.0,1950.0,272.0,84.0,2,1,1.0,Airport West,18.0,87.77777777777777,9.5625,35.0,93.14285714285714,9.551724137931034,45.0,97.17777777777778,9.514285714285714,Moonee Valley
t,-37.7218,144.8837,13.5,700000.0,2009.0,239.0,134.0,3,2,2.0,Airport West,19.0,80.05263157894737,9.61111111111111,34.0,98.02941176470588,9.586206896551724,48.0,102.5,9.55,Moonee Valley
h,-37.7273,144.8744,13.5,600000.0,1980.0,290.0,116.0,3,1,1.0,Airport West,10.0,93.2,9.555555555555555,41.0,84.41463414634147,9.605263157894736,52.0,92.5576923076923,9.543478260869565,Moonee Valley
u,-37.7215,144.8864,13.5,500000.0,2011.0,168.0,86.0,2,1,1.0,Airport West,18.0,81.16666666666667,9.588235294117647,34.0,96.05882352941177,9.586206896551724,53.0,97.24528301886792,9.571428571428571,Moonee Valley
h,-37.7173,144.8872,13.5,720000.0,,620.0,,3,1,1.0,Airport West,12.0,80.66666666666667,9.583333333333334,39.0,100.05128205128206,9.5625,55.0,104.45454545454545,9.577777777777778,Moonee Valley
h,-37.7259,144.8792,13.5,785000.0,,597.0,127.0,4,1,2.0,Airport West,20.0,85.5,9.5,37.0,97.05405405405405,9.53125,53.0,91.62264150943396,9.565217391304348,Moonee Valley
t,-37.7216,144.871,13.5,450000.0,2015.0,110.0,90.0,2,1,1.0,Airport West,3.0,124.66666666666667,9.5,41.0,84.29268292682927,9.526315789473685,52.0,88.78846153846153,9.574468085106384,Moonee Valley
u,-37.7298,144.8883,13.5,515000.0,2013.0,141.0,73.0,2,1,1.0,Airport West,17.0,88.23529411764706,9.6,35.0,93.14285714285714,9.551724137931034,47.0,95.59574468085107,9.5,Moonee Valley
u,-37.7234,144.8792,13.5,530000.0,2012.0,120.0,94.0,2,1,1.0,Airport West,18.0,87.33333333333333,9.529411764705882,36.0,94.91666666666667,9.580645161290322,51.0,91.94117647058823,9.6,Moonee Valley
h,-37.7217,144.8783,13.5,805000.0,1950.0,456.2983399358612,105.0,3,1,1.0,Airport West,15.0,87.26666666666667,9.5,38.0,93.1842105263158,9.606060606060606,51.0,91.86274509803921,9.622222222222222,Moonee Valley
u,-37.7302,144.8855,13.5,752000.0,1993.0,265.0,130.0,3,1,1.0,Airport West,19.0,85.26315789473684,9.588235294117647,34.0,94.11764705882354,9.517241379310345,49.0,94.34693877551021,9.5,Moonee Valley
u,-37.7177,144.8787,13.5,440000.0,,192.0,,2,1,1.0,Airport West,10.0,68.3,9.555555555555555,36.0,94.02777777777777,9.65625,52.0,94.86538461538461,9.608695652173912,Moonee Valley
h,-37.7248,144.8699,13.5,755000.0,,596.0,,5,2,2.0,Airport West,5.0,95.6,9.5,37.0,83.8108108108108,9.555555555555555,51.0,89.74509803921569,9.565217391304348,Moonee Valley
t,-37.727,144.887,13.5,700000.0,2009.0,165.0,133.0,3,2,2.0,Airport West,21.0,84.28571428571429,9.631578947368421,35.0,104.45714285714286,9.535714285714286,48.0,98.85416666666667,9.54054054054054,Moonee Valley
u,-37.7218,144.8863,13.5,462500.0,2003.0,164.0,,2,1,1.0,Airport West,18.0,81.16666666666667,9.588235294117647,35.0,96.94285714285714,9.566666666666666,53.0,97.24528301886792,9.571428571428571,Moonee Valley
h,-37.7269,144.8742,13.5,670000.0,,657.0,,3,2,2.0,Airport West,10.0,93.2,9.555555555555555,41.0,84.41463414634147,9.605263157894736,52.0,92.5576923076923,9.543478260869565,Moonee Valley
h,-37.7187,144.8765,13.5,675000.0,1975.0,612.0,100.0,2,1,1.0,Airport West,8.0,93.875,9.571428571428571,41.0,90.63414634146342,9.621621621621621,51.0,92.96078431372548,9.6,Moonee Valley
h,-37.7173,144.8796,13.5,1042000.0,1950.0,612.0,174.0,3,2,5.0,Airport West,12.0,70.58333333333333,9.583333333333334,36.0,94.02777777777777,9.65625,51.0,104.3529411764706,9.590909090909092,Moonee Valley
h,-37.7231,144.8835,13.5,910000.0,,775.0,,3,1,1.0,Airport West,20.0,78.8,9.631578947368421,34.0,98.02941176470588,9.586206896551724,51.0,101.33333333333333,9.534883720930232,Moonee Valley
h,-37.7263,144.8679,13.5,773000.0,1980.0,531.0,309.0,4,3,4.0,Airport West,4.0,110.75,9.333333333333334,34.0,81.55882352941177,9.545454545454545,52.0,83.61538461538461,9.553191489361701,Moonee Valley
h,-37.7285,144.8694,13.5,810000.0,1980.0,555.0,192.0,3,3,2.0,Airport West,4.0,112.0,9.333333333333334,34.0,84.11764705882354,9.545454545454545,48.0,86.4375,9.555555555555555,Moonee Valley
h,-37.7164,144.8792,13.5,715000.0,1995.0,422.0,126.0,3,2,2.0,Airport West,11.0,90.27272727272727,9.5,34.0,91.44117647058823,9.633333333333333,52.0,103.71153846153847,9.577777777777778,Moonee Valley
h,-37.7194,144.8827,13.5,790000.0,,614.0,,3,1,3.0,Airport West,17.0,81.23529411764706,9.588235294117647,37.0,94.10810810810811,9.625,51.0,107.94117647058823,9.595238095238095,Moonee Valley
t,-37.7231,144.8802,13.5,540000.0,2010.0,161.0,101.0,3,2,1.0,Airport West,23.0,86.08695652173913,9.571428571428571,35.0,96.37142857142857,9.6,54.0,90.70370370370371,9.595744680851064,Moonee Valley
t,-37.72,144.8776,13.5,825000.0,1960.0,293.0,102.0,3,2,1.0,Airport West,14.0,89.92857142857143,9.461538461538462,41.0,90.63414634146342,9.621621621621621,50.0,89.22,9.590909090909092,Moonee Valley
h,-37.7226,144.8733,13.5,685000.0,1975.0,579.0,113.0,3,1,1.0,Airport West,5.0,106.8,9.5,43.0,89.0,9.564102564102564,52.0,88.78846153846153,9.574468085106384,Moonee Valley
h,-37.7184,144.882,13.5,805000.0,,623.0,,3,1,1.0,Airport West,15.0,78.86666666666666,9.6,36.0,93.19444444444444,9.64516129032258,52.0,103.75,9.590909090909092,Moonee Valley
u,-37.7202,144.8797,13.5,510000.0,,141.0,76.0,2,1,1.0,Airport West,18.0,88.16666666666667,9.588235294117647,36.0,95.61111111111111,9.612903225806452,53.0,94.64150943396227,9.58695652173913,Moonee Valley
h,-37.7181,144.8824,13.5,612000.0,,212.0,,3,2,1.0,Airport West,16.0,77.5625,9.5625,38.0,91.73684210526316,9.636363636363637,50.0,105.8,9.595238095238095,Moonee Valley
h,-37.7169,144.8815,13.5,662000.0,,612.0,,3,1,2.0,Airport West,15.0,93.46666666666667,9.538461538461538,37.0,90.0,9.636363636363637,52.0,103.75,9.590909090909092,Moonee Valley
h,-37.7263,144.869,13.5,978000.0,,532.0,,4,3,2.0,Airport West,4.0,110.75,9.333333333333334,37.0,82.35135135135135,9.527777777777779,54.0,86.35185185185185,9.553191489361701,Moonee Valley
h,-37.72,144.878,13.5,720000.0,,585.0,,3,1,1.0,Airport West,15.0,87.26666666666667,9.5,40.0,93.275,9.628571428571428,51.0,88.6470588235294,9.577777777777778,Moonee Valley
h,-37.7261,144.8785,13.5,765000.0,,509.0,,4,1,2.0,Airport West,17.0,87.76470588235294,9.5625,39.0,94.76923076923077,9.558823529411764,52.0,92.63461538461539,9.577777777777778,Moonee Valley
h,-37.7256,144.8739,13.5,900000.0,1975.0,628.0,146.0,4,2,3.0,Airport West,8.0,101.5,9.428571428571429,42.0,87.04761904761905,9.58974358974359,52.0,92.15384615384616,9.565217391304348,Moonee Valley
h,-37.8459,144.9555,3.3,1275000.0,1900.0,120.0,82.0,2,1,0.0,Albert Park,104.0,158.0096153846154,9.906976744186046,1014.0,140.00986193293886,9.836601307189543,2207.0,138.19302220208428,9.842657342657343,Moonee Valley
h,-37.845,144.9538,3.3,1455000.0,,159.0,,2,1,0.0,Albert Park,113.0,160.56637168141592,9.924731182795698,996.0,140.6475903614458,9.835106382978724,2234.0,138.6253357206804,9.842767295597485,Moonee Valley
h,-37.8481,144.9499,3.3,2850000.0,1890.0,211.0,198.0,3,2,0.0,Albert Park,101.0,156.0,9.903614457831326,438.0,148.08219178082192,9.867052023121387,1129.0,140.4906997342781,9.846153846153847,Moonee Valley
h,-37.8452,144.9488,3.3,1850000.0,1890.0,128.0,133.0,3,2,0.0,Albert Park,136.0,154.53676470588235,9.91891891891892,697.0,144.95408895265425,9.855805243445692,1694.0,139.1469893742621,9.83905415713196,Moonee Valley
h,-37.8431,144.9565,3.3,1436000.0,1900.0,130.0,81.0,2,1,0.0,Albert Park,126.0,156.67460317460316,9.914285714285715,1559.0,137.73380372033355,9.826778242677824,2798.0,136.89563974267332,9.865254619197836,Port Phillip
h,-37.8444,144.9484,3.3,1110000.0,1900.0,147.0,,2,1,0.0,Albert Park,155.0,151.99354838709678,9.919354838709678,749.0,145.6728971962617,9.850877192982455,1781.0,138.65075800112297,9.840348330914368,Port Phillip
h,-37.8405,144.9521,3.3,1550000.0,,167.0,,2,1,1.0,Albert Park,160.0,158.81875,9.86259541984733,1539.0,140.12865497076024,9.840871021775545,3661.0,134.56705818082492,9.876605814739689,Port Phillip
h,-37.8447,144.9523,3.3,2300000.0,1880.0,153.0,180.0,4,2,1.0,Albert Park,126.0,158.8015873015873,9.930693069306932,926.0,142.3866090712743,9.837375178316691,2239.0,138.16078606520767,9.845537757437071,Port Phillip
t,-37.8443,144.9598,3.3,1550000.0,,718.0,,3,2,2.0,Albert Park,107.0,152.83177570093457,9.897727272727273,1608.0,137.3370646766169,9.821951219512195,2656.0,137.12236445783134,9.845266698702547,Port Phillip
h,-37.8415,144.952,3.3,1800000.0,1996.0,132.0,159.0,3,2,1.0,Albert Park,145.0,157.86206896551724,9.88888888888889,1316.0,139.80091185410333,9.831858407079647,3411.0,134.88009381413076,9.874136049472536,Port Phillip
h,-37.8422,144.9554,3.3,2120000.0,1900.0,199.0,107.0,2,1,1.0,Albert Park,125.0,155.952,9.912621359223301,1616.0,137.7549504950495,9.829991980753809,3257.0,135.53761129874118,9.870334744132359,Port Phillip
h,-37.8443,144.9579,3.3,1800000.0,,253.0,,3,1,1.0,Albert Park,112.0,156.24107142857142,9.913978494623656,1458.0,138.0164609053498,9.817937219730942,2526.0,137.5799683293745,9.848101265822784,Port Phillip
h,-37.8421,144.9571,3.3,1800000.0,1900.0,90.0,122.0,3,2,1.0,Albert Park,131.0,153.8091603053435,9.916666666666666,1737.0,138.1278065630397,9.827509293680297,3246.0,135.8154651879236,9.868827160493828,Port Phillip
h,-37.8379,144.9539,3.3,1810000.0,,240.0,,2,1,0.0,Albert Park,212.0,148.1933962264151,9.859756097560975,2417.0,136.54654530409599,9.861256544502618,4249.0,133.7655919039774,9.872737886748395,Port Phillip
h,-37.8415,144.9585,3.3,2615000.0,1880.0,177.0,181.0,3,2,1.0,Albert Park,138.0,154.8695652173913,9.881818181818181,1847.0,138.88305360043313,9.831938633193863,3441.0,135.40191804707933,9.873183139534884,Port Phillip
h,-37.8436,144.9557,3.3,2100000.0,,237.0,,5,2,1.0,Albert Park,121.0,157.15702479338842,9.92079207920792,1393.0,137.53768844221105,9.82755388940956,2595.0,137.7946050096339,9.855256723716382,Port Phillip
h,-37.8422,144.94899999999996,3.3,1300000.0,,129.0,,3,1,0.0,Albert Park,166.0,151.34939759036143,9.902255639097744,945.0,143.73121693121692,9.853556485355648,2646.0,135.23960695389266,9.860542598762494,Port Phillip
h,-37.8451,144.9511,3.3,1370000.0,2000.0,456.2983399358612,85.0,3,2,2.0,Albert Park,128.0,159.171875,9.923809523809524,869.0,144.01380897583428,9.842748091603054,2035.0,138.33660933660934,9.842005076142131,Port Phillip
h,-37.8407,144.9523,3.3,1000000.0,,288.0,,2,1,0.0,Albert Park,156.0,158.17307692307693,9.858267716535433,1526.0,140.35452162516384,9.840812870448772,3635.0,134.85722145804678,9.876021798365123,Port Phillip
h,-37.8445,144.9501,3.3,2575000.0,,228.0,,3,2,1.0,Albert Park,131.0,154.70992366412213,9.913461538461538,852.0,144.54342723004694,9.841368584758943,2036.0,137.70284872298626,9.843037974683543,Port Phillip
h,-37.8443,144.9481,3.3,1322500.0,1890.0,149.0,98.0,2,1,0.0,Albert Park,154.0,151.2792207792208,9.91869918699187,733.0,145.7912687585266,9.851785714285715,1750.0,138.63028571428572,9.840472673559823,Port Phillip
h,-37.8424,144.9562,3.3,1562500.0,1890.0,141.0,83.0,2,1,0.0,Albert Park,124.0,154.38709677419354,9.911764705882353,1656.0,137.96920289855072,9.830336200156372,3141.0,136.08723336517033,9.869286287089013,Port Phillip
h,-37.847,144.9575,3.3,2000000.0,1900.0,211.0,147.0,3,2,1.0,Albert Park,99.0,154.2929292929293,9.902439024390244,1042.0,139.3848368522073,9.828065739570164,2279.0,136.96314172882845,9.836435420191766,Port Phillip
h,-37.8468,144.9546,3.3,1900000.0,1900.0,209.0,,3,1,0.0,Albert Park,97.0,156.15463917525773,9.9125,900.0,141.85111111111112,9.844674556213018,2019.0,138.10450718177316,9.839388145315487,Port Phillip
h,-37.8473,144.9551,3.3,3010000.0,1890.0,147.0,146.0,3,2,0.0,Albert Park,92.0,157.06521739130434,9.907894736842104,863.0,143.01738122827348,9.842349304482225,1998.0,137.83983983983984,9.836245954692556,Port Phillip
h,-37.8467,144.9475,3.3,2800000.0,1910.0,327.0,254.0,4,3,1.0,Albert Park,130.0,149.85384615384615,9.914285714285715,420.0,148.20238095238096,9.863095238095237,1206.0,141.2089552238806,9.84375,Port Phillip
u,-37.846,144.9542,3.3,647000.0,,456.2983399358612,,2,1,1.0,Albert Park,100.0,157.11,9.902439024390244,932.0,141.84549356223175,9.837375178316691,2105.0,138.6061757719715,9.841366687004271,Port Phillip
h,-37.8427,144.9546,3.3,2100000.0,1900.0,120.0,123.0,3,1,1.0,Albert Park,126.0,155.31746031746033,9.933333333333334,1447.0,138.16655148583277,9.826871055004508,3035.0,136.33607907742999,9.863655200994613,Port Phillip
h,-37.8461,144.9528,3.3,2000000.0,1890.0,238.0,131.0,3,1,1.0,Albert Park,113.0,155.56637168141592,9.914893617021276,875.0,143.74857142857144,9.844748858447488,1965.0,138.51094147582697,9.83759004584152,Port Phillip
u,-37.8421,144.9517,3.3,442500.0,1970.0,456.2983399358612,34.0,1,1,0.0,Albert Park,135.0,159.03703703703704,9.90566037735849,1171.0,139.88983774551664,9.832402234636872,3123.0,135.08677553634325,9.869286287089013,Port Phillip
h,-37.846,144.9517,3.3,1340000.0,,136.0,,2,1,0.0,Albert Park,123.0,157.21138211382114,9.93,841.0,144.64565992865636,9.842767295597485,1861.0,138.70768404083825,9.843423799582464,Port Phillip
h,-37.8429,144.9493,3.3,1801000.0,,202.0,,3,1,1.0,Albert Park,152.0,152.01315789473685,9.902439024390244,899.0,143.55061179087875,9.846381093057607,2395.0,135.8275574112735,9.856309650053023,Port Phillip
h,-37.8415,144.9585,3.3,1532000.0,,456.2983399358612,,3,3,1.0,Albert Park,138.0,154.8695652173913,9.881818181818181,1847.0,138.88305360043313,9.831938633193863,3441.0,135.40191804707933,9.873183139534884,Port Phillip
h,-37.8413,144.95,3.3,3755000.0,,325.0,,3,2,2.0,Albert Park,172.0,155.06976744186048,9.869565217391305,1130.0,141.11769911504425,9.83852364475202,3263.0,134.58749616916947,9.874714394516374,Port Phillip
h,-37.8434,144.9495,3.3,2140000.0,1880.0,183.0,145.0,4,2,1.0,Albert Park,139.0,153.6978417266187,9.910714285714286,884.0,143.9762443438914,9.846846846846846,2241.0,136.9665327978581,9.851197263397948,Port Phillip
h,-37.8416,144.9488,3.3,1750000.0,,162.0,,2,1,1.0,Albert Park,184.0,151.02173913043478,9.891156462585034,1012.0,142.62747035573122,9.848445595854923,2888.0,134.52285318559558,9.8689446366782,Port Phillip
h,-37.8387,144.9519,3.3,980000.0,1890.0,79.0,68.0,2,1,0.0,Albert Park,169.0,158.53846153846155,9.866666666666667,1968.0,138.6280487804878,9.847854356306891,3917.0,134.42455961194793,9.873737373737374,Port Phillip
h,-37.8488,144.9551,3.3,2030000.0,,152.0,,3,2,0.0,Albert Park,85.0,154.83529411764707,9.9,613.0,143.66557911908646,9.838709677419354,1781.0,137.21673217293656,9.828717201166182,Port Phillip
h,-37.8448,144.9453,3.3,1740000.0,1890.0,147.0,134.0,3,2,2.0,Albert Park,189.0,148.68253968253967,9.924657534246576,427.0,147.49414519906324,9.870967741935484,1262.0,140.35974643423137,9.83971044467425,Port Phillip
h,-37.8399,144.9577,3.3,2800000.0,,456.2983399358612,,3,3,1.0,Albert Park,135.0,152.34074074074073,9.899082568807339,1987.0,138.58127830900855,9.838605551969012,4019.0,134.70042299079373,9.881032892714417,Port Phillip
h,-37.8411,144.9497,3.3,985000.0,1900.0,81.0,54.0,1,1,0.0,Albert Park,174.0,153.1264367816092,9.871428571428572,1152.0,141.08767361111111,9.843537414965986,3298.0,134.40448756822317,9.87152516904583,Port Phillip
h,-37.7707,145.0318,6.4,2000000.0,1930.0,853.0,263.0,4,2,4.0,Alphington,27.0,80.85185185185185,9.56,107.0,87.85981308411215,9.453488372093023,176.0,90.17045454545455,9.514084507042254,Port Phillip
h,-37.7854,145.0325,6.4,1110000.0,2013.0,208.0,,3,2,2.0,Alphington,28.0,91.14285714285714,9.434782608695652,125.0,94.576,9.414141414141413,184.0,96.36413043478261,9.455172413793104,Port Phillip
h,-37.7713,145.0279,6.4,1492000.0,,411.0,,3,2,2.0,Alphington,41.0,90.1219512195122,9.242424242424242,138.0,84.94202898550725,9.513513513513514,206.0,94.0873786407767,9.527272727272727,Port Phillip
h,-37.7717,145.031,6.4,1717500.0,1925.0,599.0,203.0,4,2,1.0,Alphington,29.0,85.10344827586206,9.6,112.0,86.55357142857143,9.483516483516484,181.0,92.87292817679558,9.51388888888889,Port Phillip
h,-37.775,145.0268,6.4,2840000.0,1910.0,809.0,165.0,5,4,4.0,Alphington,47.0,93.27659574468085,9.243243243243244,149.0,88.90604026845638,9.478991596638656,218.0,95.11009174311927,9.534090909090908,Port Phillip
u,-37.7791,145.0306,6.4,525500.0,1960.0,88.0,60.0,2,1,1.0,Alphington,37.0,93.4054054054054,9.46875,127.0,93.79527559055119,9.490196078431373,192.0,90.97395833333333,9.453947368421053,Darebin
