Salario mensual BRUTO (en tu moneda local),Salario mensual NETO (en tu moneda local),Recibís algún tipo de bono,Años de experiencia,Lenguajes de programación,Nivel de estudios alcanzado,Me identifico,file
135000.0,120000.0,No,10.0,"Javascript, Python, TypeScript",,varón,2021.1 - Encuesta Argentina.csv
54000.0,46500.0,No,11.0,"HTML, Javascript, PHP",,varón,2021.1 - Encuesta Argentina.csv
66500.0,55000.0,No,0.0,"CSS, HTML, Javascript, Ruby",Secundario,varón,2021.1 - Encuesta Argentina.csv
275000.0,,De uno a tres sueldos,11.0,"Bash/Shell, Python, SQL",,varón,2021.1 - Encuesta Argentina.csv
90000.0,70000.0,De uno a tres sueldos,0.0,"COBOL, Python",,varón,2021.1 - Encuesta Argentina.csv
45000.0,36000.0,No,0.0,"CSS, HTML, Javascript",,mujer,2021.1 - Encuesta Argentina.csv
95000.0,78500.0,No,2.0,"Java, Scala",Universitario,varón,2021.1 - Encuesta Argentina.csv
93400.0,75300.0,No,0.0,"Javascript, Ruby, SQL",,varón,2021.1 - Encuesta Argentina.csv
134000.0,94000.0,Un sueldo,9.0,"HTML, Python, Shell",Universitario,varón,2021.1 - Encuesta Argentina.csv
155000.0,112000.0,No,4.0,"Java, SQL",Universitario,varón,2021.1 - Encuesta Argentina.csv
,86083.0,Un sueldo,1.0,".NET, Bash/Shell, Java, Javascript, SQL, VBA",,varón,2021.1 - Encuesta Argentina.csv
42000.0,34000.0,Menos de un sueldo,0.0,"CSS, HTML, PHP, SQL",Terciario,varón,2021.1 - Encuesta Argentina.csv
49000.0,49000.0,No,1.0,"Javascript, PHP",,varón,2021.1 - Encuesta Argentina.csv
98000.0,78000.0,No,0.0,Python,Universitario,varón,2021.1 - Encuesta Argentina.csv
41400.0,,No,1.0,Java,Universitario,varón,2021.1 - Encuesta Argentina.csv
47000.0,41000.0,No,0.0,"Javascript, Python, R",Universitario,varón,2021.1 - Encuesta Argentina.csv
67980.12,57324.95,No,3.0,"C, Python, R, Fortran",Doctorado,mujer,2021.1 - Encuesta Argentina.csv
55000.0,45000.0,No,0.0,"CSS, HTML, Javascript",Universitario,varón,2021.1 - Encuesta Argentina.csv
92000.0,76250.0,Menos de un sueldo,2.0,"CSS, HTML, Javascript, TypeScript",Universitario,varón,2021.1 - Encuesta Argentina.csv
190000.0,124000.0,De uno a tres sueldos,13.0,Ninguno de los anteriores,,varón,2021.1 - Encuesta Argentina.csv
140000.0,100000.0,Menos de un sueldo,14.0,".NET, SQL",Terciario,varón,2021.1 - Encuesta Argentina.csv
71000.0,60000.0,No,2.0,"Javascript, SQL",,varón,2021.1 - Encuesta Argentina.csv
139000.0,,No,7.0,"Python, SQL, datastage",,varón,2021.1 - Encuesta Argentina.csv
98000.0,75000.0,De uno a tres sueldos,5.0,"CSS, HTML, Javascript, PHP",Universitario,varón,2021.1 - Encuesta Argentina.csv
40000.0,40000.0,No,6.0,PHP,,varón,2021.1 - Encuesta Argentina.csv
196000.0,130000.0,No,5.0,"HTML, Javascript, PHP, Python",Universitario,varón,2021.1 - Encuesta Argentina.csv
195500.0,128000.0,No,13.0,Python,,varón,2021.1 - Encuesta Argentina.csv
115500.0,100000.0,De uno a tres sueldos,1.0,"Java, Javascript, Kotlin, SQL",Universitario,varón,2021.1 - Encuesta Argentina.csv
116000.0,83000.0,Menos de un sueldo,4.0,"Java, Python, SQL",,varón,2021.1 - Encuesta Argentina.csv
86000.0,72000.0,No,2.0,Ninguno de los anteriores,Universitario,mujer,2021.1 - Encuesta Argentina.csv
150000.0,,No,15.0,"Go, Java, Kotlin, SQL",,varón,2021.1 - Encuesta Argentina.csv
90.0,70.0,Menos de un sueldo,4.0,SQL,,varón,2021.1 - Encuesta Argentina.csv
47809.92,43139.13,No,1.0,"Java, SQL",Universitario,varón,2021.1 - Encuesta Argentina.csv
67200.0,56000.0,Un sueldo,0.0,"Java, VBA",Universitario,varón,2021.1 - Encuesta Argentina.csv
1550000.0,105000.0,Menos de un sueldo,9.0,"Bash/Shell, SQL",Universitario,varón,2021.1 - Encuesta Argentina.csv
64360.0,53400.0,No,2.0,"HTML, Javascript",Universitario,mujer,2021.1 - Encuesta Argentina.csv
85000.0,70000.0,No,0.0,Swift,Universitario,mujer,2021.1 - Encuesta Argentina.csv
450000.0,,No,6.0,"HTML, PHP",Universitario,varón,2021.1 - Encuesta Argentina.csv
35000.0,27000.0,No,0.0,Ninguno de los anteriores,Universitario,mujer,2021.1 - Encuesta Argentina.csv
46597.0,38676.0,Menos de un sueldo,2.0,"Ruby, SQL",,mujer,2021.1 - Encuesta Argentina.csv
11000000.0,9700000.0,Un sueldo,9.0,".NET, Javascript, SQL",,varón,2021.1 - Encuesta Argentina.csv
60000.0,50000.0,No,5.0,"Bash/Shell, CSS, HTML, Javascript, PHP, SQL",,varón,2021.1 - Encuesta Argentina.csv
54000.0,45000.0,No,4.0,Javascript,,varón,2021.1 - Encuesta Argentina.csv
96000.0,76000.0,No,2.0,"CSS, Java, Javascript, SQL",Universitario,mujer,2021.1 - Encuesta Argentina.csv
93500.0,77000.0,No,3.0,"Bash/Shell, Javascript, PHP, TypeScript",Terciario,varón,2021.1 - Encuesta Argentina.csv
66.401,51966.0,No,0.0,Ninguno de los anteriores,,varón,2021.1 - Encuesta Argentina.csv
50000.0,41500.0,No,1.0,"CSS, HTML, Javascript, TypeScript",Secundario,mujer,2021.1 - Encuesta Argentina.csv
80000.0,80000.0,No,20.0,"C#, HTML, Python, SQL",,varón,2021.1 - Encuesta Argentina.csv
73092.0,65300.0,No,0.0,"C++, QML",Universitario,varón,2021.1 - Encuesta Argentina.csv
44000.0,41000.0,No,0.0,"CSS, HTML, Javascript, PHP, TypeScript",,,2021.1 - Encuesta Argentina.csv
2500.0,2500.0,Un sueldo,3.0,"Ninguno de los anteriores, Terraform",,varón,2021.1 - Encuesta Argentina.csv
126000.0,94000.0,De uno a tres sueldos,2.0,"Javascript, TypeScript",,varón,2021.1 - Encuesta Argentina.csv
110000.0,90000.0,Un sueldo,7.0,Ninguno de los anteriores,,varón,2021.1 - Encuesta Argentina.csv
90000.0,80000.0,No,15.0,Ninguno de los anteriores,,,2021.1 - Encuesta Argentina.csv
208000.0,160000.0,De uno a tres sueldos,4.0,"Bash/Shell, Python, Terraform",Posgrado,varón,2021.1 - Encuesta Argentina.csv
75000.0,75000.0,No,1.0,"CSS, HTML, Javascript, Python, SQL, TypeScript",Universitario,varón,2021.1 - Encuesta Argentina.csv
110000.0,91300.0,No,1.0,"CSS, HTML, Javascript, TypeScript",,mujer,2021.1 - Encuesta Argentina.csv
87175.0,68326.0,Menos de un sueldo,3.0,"C#, CSS, HTML, SQL",,varón,2021.1 - Encuesta Argentina.csv
85000.0,72000.0,Un sueldo,12.0,Ninguno de los anteriores,Universitario,,2021.1 - Encuesta Argentina.csv
120000.0,90000.0,No,5.0,"Groovy, Javascript, TypeScript",,no binarie,2021.1 - Encuesta Argentina.csv
34000.0,34000.0,No,2.0,Ninguno de los anteriores,Universitario,varón,2021.1 - Encuesta Argentina.csv
90000.0,74000.0,No,1.0,"CSS, HTML, PHP, SQL",Terciario,varón,2021.1 - Encuesta Argentina.csv
64000.0,50000.0,No,0.0,Javascript,Terciario,varón,2021.1 - Encuesta Argentina.csv
135630.0,98000.0,No,5.0,"Java, Kotlin",,varón,2021.1 - Encuesta Argentina.csv
55000.0,49000.0,No,2.0,".NET, C#, CSS, HTML, Javascript",Universitario,varón,2021.1 - Encuesta Argentina.csv
160000.0,115000.0,Menos de un sueldo,6.0,".NET, Bash/Shell, Groovy, Java, Javascript, Python, SQL, TypeScript",,varón,2021.1 - Encuesta Argentina.csv
115000.0,80000.0,No,8.0,"CSS, HTML, Javascript, Perl, PHP, SQL",,varón,2021.1 - Encuesta Argentina.csv
90000.0,72000.0,No,0.0,"Java, SQL",,varón,2021.1 - Encuesta Argentina.csv
80000.0,,No,0.0,"C++, C#, Python",Terciario,varón,2021.1 - Encuesta Argentina.csv
230000.0,170000.0,Menos de un sueldo,3.0,".NET, C#, Python",Universitario,prefiero no decir,2021.1 - Encuesta Argentina.csv
60000.0,48000.0,Menos de un sueldo,3.0,Ninguno de los anteriores,Terciario,mujer,2021.1 - Encuesta Argentina.csv
147200.0,101000.0,De uno a tres sueldos,15.0,Ninguno de los anteriores,Universitario,varón,2021.1 - Encuesta Argentina.csv
60000.0,49800.0,No,2.0,".NET, C#, SQL",,prefiero no decir,2021.1 - Encuesta Argentina.csv
63000.0,72000.0,No,2.0,"CSS, Javascript, PHP, SQL",Universitario,varón,2021.1 - Encuesta Argentina.csv
79000.0,79000.0,No,4.0,"CSS, HTML, PHP, SQL",Universitario,varón,2021.1 - Encuesta Argentina.csv
60200.0,50000.0,No,0.0,"CSS, HTML, Java, Javascript, SQL",,mujer,2021.1 - Encuesta Argentina.csv
145.7,102.35,De uno a tres sueldos,19.0,Ninguno de los anteriores,,varón,2021.1 - Encuesta Argentina.csv
80000.0,80000.0,No,5.0,"CSS, HTML, Javascript, PHP, SQL, TypeScript",Universitario,no binarie,2021.1 - Encuesta Argentina.csv
175.0,110.0,De uno a tres sueldos,5.0,Ninguno de los anteriores,Universitario,varón,2021.1 - Encuesta Argentina.csv
56000.0,46000.0,No,3.0,Java,Universitario,varón,2021.1 - Encuesta Argentina.csv
55921.46,45155.0,No,17.0,Ninguno de los anteriores,Terciario,varón,2021.1 - Encuesta Argentina.csv
100000.0,83000.0,Un sueldo,2.0,"CSS, HTML, Javascript",Universitario,varón,2021.1 - Encuesta Argentina.csv
150000.0,150000.0,No,3.0,"Bash/Shell, Javascript, Python",,varón,2021.1 - Encuesta Argentina.csv
160000.0,110000.0,Un sueldo,5.0,Python,Universitario,varón,2021.1 - Encuesta Argentina.csv
152000.0,105000.0,No,4.0,Python,Universitario,varón,2021.1 - Encuesta Argentina.csv
150000.0,100000.0,No,6.0,Ninguno de los anteriores,Universitario,varón,2021.1 - Encuesta Argentina.csv
69000.0,56332.0,No,10.0,Ninguno de los anteriores,Secundario,varón,2021.1 - Encuesta Argentina.csv
170000.0,112000.0,No,20.0,"Bash/Shell, Groovy, Python",Terciario,varón,2021.1 - Encuesta Argentina.csv
70000.0,64000.0,Menos de un sueldo,0.0,Javascript,,varón,2021.1 - Encuesta Argentina.csv
80000.0,62000.0,Menos de un sueldo,15.0,Ninguno de los anteriores,Universitario,mujer,2021.1 - Encuesta Argentina.csv
75000.0,68000.0,No,0.0,SQL,,varón,2021.1 - Encuesta Argentina.csv
150000.0,100000.0,No,8.0,".NET, C#, Javascript, propietario",,varón,2021.1 - Encuesta Argentina.csv
160000.0,105000.0,Un sueldo,2.0,"Java, Javascript, Scala",Universitario,varón,2021.1 - Encuesta Argentina.csv
100000.0,80000.0,Un sueldo,3.0,"Javascript, Python",Universitario,varón,2021.1 - Encuesta Argentina.csv
190000.0,280000.0,No,15.0,".NET, Arduino, Bash/Shell, C, C++, C#, HTML, Javascript, SQL",,varón,2021.1 - Encuesta Argentina.csv
27000.0,24000.0,No,1.0,"Bash/Shell, Python, SQL",Posgrado,varón,2021.1 - Encuesta Argentina.csv
56000.0,46650.0,Menos de un sueldo,1.0,Ninguno de los anteriores,,mujer,2021.1 - Encuesta Argentina.csv
65000.0,60000.0,No,7.0,".NET, C#, HTML, Javascript, SQL",,varón,2021.1 - Encuesta Argentina.csv
83000.0,66958.0,No,3.0,Bash/Shell,,varón,2021.1 - Encuesta Argentina.csv
95000.0,74000.0,No,4.0,PHP,,mujer,2021.1 - Encuesta Argentina.csv
85000.0,70500.0,No,2.0,Swift,,varón,2021.1 - Encuesta Argentina.csv
57845.0,48012.0,Menos de un sueldo,3.0,Javascript,Universitario,mujer,2021.1 - Encuesta Argentina.csv
63500.0,54300.0,No,10.0,".NET, C#, CSS, HTML, Java, Javascript, PHP, Python, SQL",,varón,2021.1 - Encuesta Argentina.csv
83500.0,65500.0,No,6.0,"ABAP, C#, SQL",Terciario,varón,2021.1 - Encuesta Argentina.csv
55000.0,50000.0,No,1.0,Derivado de Java,Universitario,varón,2021.1 - Encuesta Argentina.csv
163000.0,111000.0,Un sueldo,6.0,Ninguno de los anteriores,,varón,2021.1 - Encuesta Argentina.csv
65000.0,55140.0,No,1.0,"SQL, Formalismo Backus-Naur",Universitario,varón,2021.1 - Encuesta Argentina.csv
40.0,33.2,No,0.0,Ninguno de los anteriores,Secundario,mujer,2021.1 - Encuesta Argentina.csv
30000.0,27100.0,No,1.0,"C++, HTML, PHP, Python, SQL",Universitario,mujer,2021.1 - Encuesta Argentina.csv
154175.0,112523.0,No,8.0,"CSS, HTML, Javascript, PHP, SQL",,varón,2021.1 - Encuesta Argentina.csv
125000.0,92000.0,De uno a tres sueldos,4.0,"CSS, HTML, Javascript, PHP, SQL",Universitario,varón,2021.1 - Encuesta Argentina.csv
255000.0,157000.0,De uno a tres sueldos,5.0,Python,,varón,2021.1 - Encuesta Argentina.csv
147000.0,106000.0,No,7.0,Ninguno de los anteriores,,mujer,2021.1 - Encuesta Argentina.csv
53.13,44.097,No,4.0,HTML,Universitario,prefiero no decir,2021.1 - Encuesta Argentina.csv
81883.0,64908.0,Menos de un sueldo,3.0,"Bash/Shell, Java, Javascript, Python",,varón,2021.1 - Encuesta Argentina.csv
97650.0,81050.0,Menos de un sueldo,0.0,"Bash/Shell, Python, SQL",,varón,2021.1 - Encuesta Argentina.csv
45.0,40.0,No,5.0,SQL,,mujer,2021.1 - Encuesta Argentina.csv
268750.0,,No,17.0,"Bash/Shell, Python",Universitario,varón,2021.1 - Encuesta Argentina.csv
35000.0,35000.0,No,0.0,"CSS, HTML, Javascript, PHP",Secundario,varón,2021.1 - Encuesta Argentina.csv
151000.0,108000.0,De uno a tres sueldos,7.0,Ninguno de los anteriores,,varón,2021.1 - Encuesta Argentina.csv
78638.0,55976.0,No,3.0,Bash/Shell,Terciario,varón,2021.1 - Encuesta Argentina.csv
10000.0,10000.0,No,0.0,Javascript,,varón,2021.1 - Encuesta Argentina.csv
132000.0,90000.0,Un sueldo,5.0,Ninguno de los anteriores,Posgrado,mujer,2021.1 - Encuesta Argentina.csv
150000.0,,3+ sueldos,8.0,"Bash/Shell, SQL",,varón,2021.1 - Encuesta Argentina.csv
240000.0,170000.0,De uno a tres sueldos,15.0,".NET, Bash/Shell, C#, Javascript, Python, SQL",,varón,2021.1 - Encuesta Argentina.csv
,94000.0,Un sueldo,3.0,"Go, Python, SQL",Universitario,varón,2021.1 - Encuesta Argentina.csv
62000.0,51460.0,No,0.0,SQL,,mujer,2021.1 - Encuesta Argentina.csv
35000.0,29500.0,No,2.0,Bash/Shell,,varón,2021.1 - Encuesta Argentina.csv
112448.0,88336.0,De uno a tres sueldos,9.0,".NET, C#, CSS, HTML, Javascript, PHP, SQL",Universitario,varón,2021.1 - Encuesta Argentina.csv
220000.0,140000.0,De uno a tres sueldos,4.0,"Bash/Shell, Javascript, SQL, TypeScript",,varón,2021.1 - Encuesta Argentina.csv
100000.0,80000.0,No,9.0,"C++, C#, Java, SQL",,varón,2021.1 - Encuesta Argentina.csv
50000.0,42000.0,No,1.0,"CSS, HTML, Javascript, TypeScript",Universitario,varón,2021.1 - Encuesta Argentina.csv
120000.0,90000.0,No,8.0,"C#, CSS, HTML, Perl, Python, Ruby, SQL",,varón,2021.1 - Encuesta Argentina.csv
46200.0,38400.0,No,0.0,".NET, Bash/Shell, C++, C#, HTML, Java, Javascript, PHP, Python, Ruby, SQL",Universitario,prefiero no decir,2021.1 - Encuesta Argentina.csv
236000.0,150000.0,De uno a tres sueldos,29.0,Ninguno de los anteriores,Universitario,varón,2021.1 - Encuesta Argentina.csv
170000.0,120000.0,Menos de un sueldo,10.0,"CSS, HTML, Java, Javascript, TypeScript",Terciario,varón,2021.1 - Encuesta Argentina.csv
115000.0,85000.0,De uno a tres sueldos,5.0,"Javascript, TypeScript",Universitario,varón,2021.1 - Encuesta Argentina.csv
50000.0,42000.0,No,0.0,".NET, C#, CSS, HTML, Javascript, SQL, TypeScript",Secundario,mujer,2021.1 - Encuesta Argentina.csv
97000.0,84300.0,Menos de un sueldo,0.0,Ninguno de los anteriores,,mujer,2021.1 - Encuesta Argentina.csv
155000.0,121000.0,No,18.0,"Bash/Shell, PHP, Python, SQL",Universitario,varón,2021.1 - Encuesta Argentina.csv
35662.0,29600.0,No,0.0,Javascript,Universitario,mujer,2021.1 - Encuesta Argentina.csv
57000.0,,No,15.0,SQL,Posgrado,varón,2021.1 - Encuesta Argentina.csv
55000.0,52000.0,No,2.0,"Bash/Shell, Javascript, PHP, SQL",Universitario,varón,2021.1 - Encuesta Argentina.csv
79000.0,126000.0,De uno a tres sueldos,8.0,"Perl, PHP, Python",Universitario,varón,2021.1 - Encuesta Argentina.csv
60000.0,48000.0,No,0.0,"Bash/Shell, SQL",Universitario,varón,2021.1 - Encuesta Argentina.csv
77000.0,63000.0,No,9.0,".NET, C#, SQL",Terciario,varón,2021.1 - Encuesta Argentina.csv
715000.0,450000.0,No,4.0,"Go, Python, R, SQL",Doctorado,varón,2021.1 - Encuesta Argentina.csv
40000.0,31000.0,No,1.0,Java,Universitario,varón,2021.1 - Encuesta Argentina.csv
204000.0,170000.0,No,14.0,"Bash/Shell, Python",Universitario,varón,2021.1 - Encuesta Argentina.csv
120000.0,90000.0,De uno a tres sueldos,5.0,"Bash/Shell, PHP, Python",,varón,2021.1 - Encuesta Argentina.csv
254253.0,169639.0,Un sueldo,16.0,Ninguno de los anteriores,Universitario,varón,2021.1 - Encuesta Argentina.csv
110000.0,81000.0,No,5.0,".NET, Javascript, PHP, SQL",Universitario,varón,2021.1 - Encuesta Argentina.csv
1000000.0,1000000.0,No,30.0,"R, Scala",Universitario,,2021.1 - Encuesta Argentina.csv
335000.0,,De uno a tres sueldos,8.0,"CSS, HTML, Javascript, TypeScript",Universitario,varón,2021.1 - Encuesta Argentina.csv
100000.0,82000.0,Un sueldo,3.0,Ninguno de los anteriores,Universitario,varón,2021.1 - Encuesta Argentina.csv
126000.0,93000.0,No,15.0,.NET,,varón,2021.1 - Encuesta Argentina.csv
88400.0,74000.0,Menos de un sueldo,4.0,".NET, C#, HTML, Javascript, SQL, VBA",Universitario,varón,2021.1 - Encuesta Argentina.csv
106000.0,88.0,De uno a tres sueldos,16.0,"Assembler, Bash/Shell, COBOL",Universitario,varón,2021.1 - Encuesta Argentina.csv
50000.0,47000.0,Menos de un sueldo,1.0,"HTML, Javascript",,varón,2021.1 - Encuesta Argentina.csv
105000.0,83000.0,No,10.0,".NET, C#, CSS, HTML, Javascript, SQL",Universitario,mujer,2021.1 - Encuesta Argentina.csv
105000.0,81000.0,Un sueldo,15.0,"Bash/Shell, Python",Terciario,varón,2021.1 - Encuesta Argentina.csv
211500.0,139000.0,No,6.0,"Groovy, HTML, Java, Javascript, SQL",Universitario,,2021.1 - Encuesta Argentina.csv
40.0,36.0,No,1.0,"Bash/Shell, Javascript, PHP",Universitario,varón,2021.1 - Encuesta Argentina.csv
150000.0,120000.0,No,1.0,"Python, R",Posgrado,varón,2021.1 - Encuesta Argentina.csv
41000.0,36000.0,No,2.0,SQL,,varón,2021.1 - Encuesta Argentina.csv
81000.0,65000.0,No,10.0,"HTML, SQL",,mujer,2021.1 - Encuesta Argentina.csv
99000.0,82000.0,No,1.0,Swift,Universitario,mujer,2021.1 - Encuesta Argentina.csv
100808.0,74350.0,No,15.0,SQL,Terciario,varón,2021.1 - Encuesta Argentina.csv
137000.0,106000.0,De uno a tres sueldos,2.0,Ninguno de los anteriores,Universitario,mujer,2021.1 - Encuesta Argentina.csv
180000.0,148000.0,De uno a tres sueldos,15.0,"Bash/Shell, Python",Universitario,varón,2021.1 - Encuesta Argentina.csv
40000.0,35000.0,No,0.0,Ninguno de los anteriores,Universitario,,2021.1 - Encuesta Argentina.csv
300000.0,205000.0,No,10.0,"Go, Python, SQL",Terciario,varón,2021.1 - Encuesta Argentina.csv
120000.0,89000.0,De uno a tres sueldos,3.0,"Go, Java, SQL",,varón,2021.1 - Encuesta Argentina.csv
25200.0,22000.0,No,3.0,Ninguno de los anteriores,,varón,2021.1 - Encuesta Argentina.csv
165000.0,105000.0,3+ sueldos,10.0,"Bash/Shell, Python, SQL",Secundario,varón,2021.1 - Encuesta Argentina.csv
65000.0,53950.0,No,1.0,SQL,Universitario,varón,2021.1 - Encuesta Argentina.csv
55000.0,42000.0,No,1.0,"Bash/Shell, PHP, Python",Universitario,varón,2021.1 - Encuesta Argentina.csv
55000.0,42000.0,No,1.0,"Bash/Shell, PHP, Python",Universitario,varón,2021.1 - Encuesta Argentina.csv
50000.0,40000.0,Menos de un sueldo,5.0,"C, Perl, PHP, Python, R, SQL",,mujer,2021.1 - Encuesta Argentina.csv
189300.0,120000.0,No,2.0,Ninguno de los anteriores,Universitario,varón,2021.1 - Encuesta Argentina.csv
110000.0,85000.0,No,25.0,"HTML, Javascript, PHP",,varón,2021.1 - Encuesta Argentina.csv
58500.0,48555.0,No,7.0,"ActionScript, CSS, Groovy, HTML, Javascript, SQL",Universitario,varón,2021.1 - Encuesta Argentina.csv
81.0,67.23,No,1.0,"CSS, HTML, Javascript",Universitario,mujer,2021.1 - Encuesta Argentina.csv
240000.0,190000.0,De uno a tres sueldos,12.0,"Bash/Shell, Go, Python",,varón,2021.1 - Encuesta Argentina.csv
180000.0,120000.0,Un sueldo,6.0,"Bash/Shell, CSS, HTML, Java, Javascript, Ruby, SQL",Universitario,varón,2021.1 - Encuesta Argentina.csv
80000.0,65000.0,No,2.0,"HTML, Javascript",,varón,2021.1 - Encuesta Argentina.csv
,63000.0,Un sueldo,6.0,PHP,,,2021.1 - Encuesta Argentina.csv
155000.0,102000.0,No,27.0,"Python, SQL, VBA",,varón,2021.1 - Encuesta Argentina.csv
1300000.0,1100000.0,Menos de un sueldo,7.0,SQL,Posgrado,mujer,2021.1 - Encuesta Argentina.csv
80.0,70.0,Un sueldo,0.0,"Bash/Shell, C#, HTML, Javascript, PHP, SQL",,,2021.1 - Encuesta Argentina.csv
42000.0,40000.0,No,0.0,"CSS, HTML, Javascript",Secundario,mujer,2021.1 - Encuesta Argentina.csv
139343.0,101970.0,No,5.0,"Javascript, TypeScript",Secundario,varón,2021.1 - Encuesta Argentina.csv
130000.0,95000.0,No,2.0,".NET, Bash/Shell, C#, CSS, HTML, Javascript, SQL, TypeScript",Universitario,varón,2021.1 - Encuesta Argentina.csv
